tmdb_id,imdb_id,title,original_language,release_year,overview,genres,vote_average,vote_count,poster_url
65550,tt0048563,The Rose Tattoo,en,1955.0,A grieving widow embarks on a new romance when she discovers her late husband had been cheating on her.,"Drama, Romance",6.863,84,https://image.tmdb.org/t/p/w500/3W3dgP2l24JJWq6sVEl6TddLwbe.jpg
983044,tt27724113,The Arctic Convoy,no,2023.0,"In 1942, a convoy of 35 civilian ships, carrying vital supplies from Iceland to the Soviet Union, faces deadly challenges in the Arctic. Despite Allied naval escort, catastrophic intelligence errors expose the convoy to relentless German air and naval attacks. In the brutal conditions, inexperienced civilian sailors fight for survival, with only 12 ships making it to their destination.","War, Drama",6.9,142,https://image.tmdb.org/t/p/w500/7qtd6xschdz7GBnEMZfPfUir7cs.jpg
21,tt0060371,The Endless Summer,en,1966.0,"Bruce Brown's The Endless Summer is one of the first and most influential surf movies of all time. The film documents American surfers Mike Hynson and Robert August as they travel the world during California’s winter (which, back in 1965 was off-season for surfing) in search of the perfect wave and ultimately, an endless summer.",Documentary,7.1,133,https://image.tmdb.org/t/p/w500/jDdntrv2j64KB0Zpr63cko4Mebt.jpg
426030,tt4538916,Finding Your Feet,en,2017.0,"When her life is turned upside down upon discovering her husband's affair, Sandra Abbott seeks refuge in London with her estranged older sister Bif. She begins to find her feet again after letting Bif drag her along to a community dance class.","Comedy, Drama, Family, Music, Romance",7.011,180,https://image.tmdb.org/t/p/w500/p54LOicUXx2T5U5nIEJCIOhsAhk.jpg
65573,tt0067242,In the Name of the Italian People,it,1971.0,"An obscure Italian magistrate suspects that a well-known industrialist commited murder, and decides to investigate him, and bring him to court, whatever it takes. But - will the magistrate have it in him to go against impossible odds, in the name of the Italian people he represents?","Comedy, Drama, Crime",7.2,113,https://image.tmdb.org/t/p/w500/e5reonxsH0Dxti5TZ1qi7qGt11G.jpg
426034,tt5699060,The Changeover,en,2017.0,"Laura Chant, 16, lives with her mother and four-year-old brother Jacko in a poor new suburb on the edge of a partially demolished Christchurch, New Zealand. Laura is drawn into a supernatural battle with an ancient spirit who attacks Jacko and slowly drains the life out of him as the spirit becomes ever younger. Laura discovers her true identity and the supernatural ability within her, and must harness it to save her brother's life.","Fantasy, Thriller, Horror",5.6,50,https://image.tmdb.org/t/p/w500/vfXRe0oE2A6JnbmBUNyr0pfRkFA.jpg
163879,tt0141673,OSS 117 Is Unleashed,fr,1963.0,An American agent disappears after a scuba diving reconnaissance mission in Corsica. The Secret Service sends agent code name OSS 117 to investigate.,"Action, Crime",6.0,33,https://image.tmdb.org/t/p/w500/9uuLQ3wW2oWnkZmkBpR9qfQiXzl.jpg
294959,tt3784160,Valley Uprising,en,2014.0,"In the shady campgrounds of Yosemite valley, climbers carved out a counterculture lifestyle of dumpster-diving and wild parties that clashed with the conservative values of the National Park Service. And up on the walls, generation after generation has pushed the limits of climbing, vying amongst each other for supremacy on Yosemite's cliffs. ""Valley Uprising"" is the riveting, unforgettable tale of this bold rock climbing tradition in Yosemite National Park: half a century of struggle against the laws of gravity -- and the laws of the land.","Adventure, Documentary, History",7.7,96,https://image.tmdb.org/t/p/w500/9wjZdG4K1zkKmlh5DS2xxiEEVPK.jpg
1081400,tt26569323,The Mill,en,2023.0,"A businessman wakes up beside an ancient grist mill situated in the center of an open-air prison cell with no idea how he got there. Forced to work as a beast of burden to stay alive, he must find a way to escape before the birth of his child.","Science Fiction, Horror",5.9,87,https://image.tmdb.org/t/p/w500/bCga8NK6mzRHTd7t1m8bvLDDvSz.jpg
655424,tt9303756,The Snail and the Whale,en,2020.0,"A half hour animated film for all the family based on the much-loved book written by Julia Donaldson and illustrated by Axel Scheffler. The Snail and the Whale is the much loved classic that shows us a restless young snail who has ambitions to travel the world. The other snails think she should stay put, but she puts out a call for a “Lift wanted around the world”. Eventually her call is answered by a great big grey-blue humpback whale! She sets off with him across the seas. On their journey the snail and the whale discover towering icebergs and far-off lands, fiery mountains and golden sands. The snail is delighted by the wonderful world around her, until she realises how small it makes her feel.","Animation, Family, TV Movie",6.5,46,https://image.tmdb.org/t/p/w500/qWsqdJ6XUvwimqxwlplIazKjpve.jpg
