review_id,tmdb_id,media_type,author,rating,content,created_at,url
5943085ec3a3686c0d013f27,65566,tv,pua588,9.0,"I love Intersection,the story line and more especially the actors. Iʻm glad subtitles are available. Iʻm so happy I stopped and took a look see, now Iʻm hooked. I look forward to the next episode and hopefully another season. Excellent writing.",2017-06-15T22:21:18.103Z,https://www.themoviedb.org/review/5943085ec3a3686c0d013f27
612fe799e25860002cc80758,45,tv,Peter89Spencer,9.0,"Ridiculously entertaining car show...in the BBC! Clarkson, May and Hammond will always be my favourite trio presenters.",2021-09-01T20:50:33.099Z,https://www.themoviedb.org/review/612fe799e25860002cc80758
63bf7b6723be46007cb9b413,45,tv,ViscerusMorscer,9.0,My rating is purely for the seasons with the original presenters.,2023-01-12T03:15:51.853Z,https://www.themoviedb.org/review/63bf7b6723be46007cb9b413
62be3ab5d6590b007d6c6c8e,65592,tv,T,1.0,In an age of the worst talk show options ever in my life this show hits a new low. If you like the same old brow beat Trump over of my head for an entire episode that is about as fun as watching grass grow then this is the show for you .5 only because I don’t think I can rate 0,2022-07-01T00:07:17.864Z,https://www.themoviedb.org/review/62be3ab5d6590b007d6c6c8e
6460846ba67254012211f124,79,tv,Andre Gonzales,4.0,I got to admit I like dora the explorer. My daughter got me into to watching this with her. It made for good quality time together.,2023-05-14T06:49:15.599Z,https://www.themoviedb.org/review/6460846ba67254012211f124
5f6fb4977aecc60039d610d7,88,tv,Peter McGinn,9.0,"This long-running show also stars Dame Judi Dench. This time she is paired with Geoffrey Palmer, an excellent actor we first noticed in yet another nearly perfect Britcom: Butterflies. In this series the two main characters were involved when they were much younger, but the Korean War and a misplaced letter caused their separation. Now, decades later they meet by chance. Dench’s character has two daughters who, along with a boyfriend played by Philip Breatherton, help carry the show. However, like most British shows, there are a plethora of strong character actors to form this wonderful ensemble cast. To mention only a couple: Joan Sims and Frank Middlemass. When I think back on this show, I remember several funny or touching moments, but I realize it ran for many years and for over 65 episodes, which means I need to go back and watch it all again and see all the subplots and moments I don’t remember. This show ran 20: years ago, but it still enjoys a strong following, and for good reason.",2020-09-26T21:37:27.696Z,https://www.themoviedb.org/review/5f6fb4977aecc60039d610d7
58b9850ec3a368664d00b5ed,95,tv,Joe,9.0,"Such a great show! It's got everything- great characters, strong storylines, many issues, and horror, romance, tragedy, comedy, coming of age, and much more!!",2017-03-03T15:00:30.323Z,https://www.themoviedb.org/review/58b9850ec3a368664d00b5ed
63be0b9bfc31d30092c673e0,95,tv,GenerationofSwine,10.0,"Wow. I mean it unfortunately came out in 97 and ended in '03 which was really the worst possible time for me. That was going to HS and working full time to save for college and then going to college and working two jobs to avoid debt time. So when it came out I was vaguely aware of it and some people who's opinions on things like this I still trust absolutely loved it... and some actually hated it. Which to me made it a controversial must see for me... but 97-03 was just not the time. I didn't get to watch it until life calmed down a bit and that was around '09. And, of course, by then NO ONE wanted to talk about i and everyone had moved on to other shows. So I was left in my own Buffy Bubble and it became a sort of private love affair. So... what you have here is a television series based on B-Movie tropes that then turns them upside down in a way that you will absolutely love... if you love B-Movies and all their tropes. The cast is across the board hysterical. It's not really a comedy, but you're going to at least chuckle in every episode. And the pretty blond ditz that dies in every B horror movie is the kick-butt savior. Which is problematic in 2020 because you aren't supposed to acknowledge that women were ever portrayed as heroic before 2016, and, as a result, any mention of this will get you the N , M, and F word labels by people want to say that they are fighting for equality and thus Buffy doesn't fit in their timelines.... ... so even today it's controversial... but this time it is controversial by the people that SHOULD like it... because it was made before 2016 so they don't. Point being, it is awesome from start to finish... I'm one of the freaks that didn't take any issue with Dawn...and if you have one of the better teachers you are going to learn all about how it forever changed the English language... so there you go, if the title is the reason you don't like it, you got that academia link. But, who cares, it's just fun to watch and isn't that the point?",2023-01-11T01:06:36.012Z,https://www.themoviedb.org/review/63be0b9bfc31d30092c673e0
68f7e744215765e44b9d21aa,262254,tv,DallasBob,5.0,"With You and the Rain _(Ame to Kimi to)_ is in a word, **slow**. It is - I guess - what it wanted to convey. That tone being a quiet rainy afternoon indoors, sipping hot tea and reading a good book. ...and it proved to be just about as lively. The series is about a young single woman who is a novelist, Fuji - no sur/last name - and a small animal that could be a cat, dog, or racoon. The small ""ca-do-coon"" is sitting in a box in the rain when Fuji happens by and it ask her via notebook if she would take him home with her. Fuji seems to have as much intellect as she does emotional range, and takes the animal home regardless of his highly unusual ability to communicate to her through written word. I wish I could say more happens, but that is about it. The show doesn't give any definitive hints where the animal comes from, what he could be, nor does anyone look into it. There isn't much more to Fuji other than her being functionally autistic. She doesn't get angry, sad, anxious, or much of anything else. There is no explanation as to why she likes the rain. She does laugh but that is in the very last episode and it's with her and the animal,""You"" or ""Floof,"" playing in the rain. The show never really bothered to name the animal, and the names here are the ones a character, other than Fuji, named it. And the first name, ""You"", I pulled from the closed caption. There is not a lot going on with this title. Not much comedy, no particular interest for the MC, no romantic interest, interaction, or discussion. The pet's only talent seems to be writing. That doesn't go anywhere either. All in all this is a really cheap knock-off of _The Masterful Cat is Depressed Again Today_. If you pass this title by then you're not missing much at all. But, you be the judge. -- Bob --",2025-10-21T20:04:20.635Z,https://www.themoviedb.org/review/68f7e744215765e44b9d21aa
697fb9841aa18af0fd75fa65,262262,tv,annatv22,10.0,"Moody Welsh crime drama with a standout Kelly Reilly and strong supporting cast. A slow burn at first, but rewarding once it finds its pace. Highly recommend.",2026-02-01T20:37:24.702Z,https://www.themoviedb.org/review/697fb9841aa18af0fd75fa65
